Title,URL,Stars,Description,Category
Visual,https://github.com/microsoft/vscode,0,"Studio Code - Open Source (""Code - OSS"")Visual Studio Code",Client
Hyper,https://github.com/BigSweetPotatoStudio/HyperChat,0,"ChatHyperChat is a Chat client that strives for openness, utilizing APIs from various LLMs to achieve the best Chat experience, as well as implementing productivity tools through the MCP protocol.",Client
y-cli 🚀,https://github.com/luohy15/y-cli,0,A Tiny Terminal Chat App for AI Models with MCP Client Support,Client
Windsurf,https://github.com/Codeium/Windsurf,0,The new purpose-built IDE to harness magic,Client
Chat,https://github.com/EGOIST/ChatWise,0,WiseThe second fastest AI chatbot™,Client
Cline – #1 on,https://github.com/cline/cline,0,"OpenRouterAutonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",Client
A,https://github.com/nanbingxyz/5ire,0,"Sleek AI Assistant & MCP Client5ire is a cross-platform desktop AI assistant, MCP client. It compatible with major service providers, supports local knowledge base and tools via model context protocol servers .",Client
Continue⏩,https://github.com/continuedev/continue,0,"Create, share, and use custom AI code assistants with our open-source IDE extensions and hub of models, rules, prompts, docs, and other building blocks",Client
Roo,https://github.com/RooVetGit/Roo-Code,0,Code (prev. Roo Cline)Roo Code (prev. Roo Cline) gives you a whole dev team of AI agents in your code editor.,Client
Cherry,https://github.com/CherryHQ/cherry-studio,0,Studio🍒 Cherry Studio is a desktop client that supports for multiple LLM providers.,Client
Y,https://github.com/luohy15/y-gui,0,GuiA web-based graphical interface for AI chat interactions with support for multiple AI models and MCP (Model Context Protocol) servers.,Client
Deep,https://github.com/ThinkInAI/deepchat,0,ChatYour AI Partner on Desktop,Client
Cursor,https://github.com/Cursor/Cursor,0,The AI Code Editor,Client
M,https://github.com/EvalsOne/MCP-connect,0,CP ConnectEnables cloud-based AI services to access local Stdio based MCP servers via HTTP requests,Client
Refact.ai,https://github.com/smallcloudai/refact,0,Open-source AI Agent for VS Code and JetBrains that autonomously solves coding tasks end-to-end.,Client
Lutra,https://github.com/lutra/Lutra,0,Lutra is the first MCP compatible client built for everyone,Client
M,https://github.com/chatmcp/mcp-playground,0,CP PlaygroundCall MCP Server Tools Online,Client
Zed,https://github.com/zed-industries/zed,0,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",Client
chatmcp,https://github.com/daodao97/chatmcp,0,ChatMCP is an AI chat client implementing the Model Context Protocol (MCP).,Client
Repomix📦,https://github.com/yamadashy/repomix,0,"Repomix (formerly Repopack) is a powerful tool that packs your entire repository into a single, AI-friendly file. Perfect for when you need to feed your codebase to Large Language Models (LLMs) or other AI tools like Claude, ChatGPT, DeepSeek, Perplexity, Gemini, Gemma, Llama, Grok, and more.",Client
M,https://github.com/techspawn/MCP-TurboClient,0,CP TurboClientA FastAPI-based application that provides a web interface for interacting with Multiple Control Protocol (MCP) servers while utilizing OpenAI's API for processing messages.,Client
Postman,https://github.com/Dustin Schau/Postman MCP client,0,"MCP clientPostman’s MCP client simplifies the development and testing of Model Context Protocol (MCP) servers. MCP provides a standardized way for LLMs and agentic frameworks to interact with APIs by wrapping tools, prompts, and resources in a consistent format across transports like STDIO, SSE, and streamable HTTP. The Postman MCP client builds on this foundation by offering a streamlined interface for sending requests, debugging issues, validating tool configurations, and inspecting responses—making it easier for developers to build reliable, interoperable MCP servers.",Client
M,https://github.com/dev-mahfuj80/MCP_CLIENT,0,CP Client Example ☀️MCP CLIENT using python sdk.,Client
Cursor,https://github.com/Sirvenis/cursor-mcp-extension,0,MCP (Model Context Protocol)Cursor Model Context Protocol (MCP) extension for Chrome - with comprehensive test coverage,Client
Universal,https://github.com/itisaevalex/mistral-mcp-client,0,Mistral MCP AdapterAdapter project allowing Mistral models to interact with the modelcontextprotocol for standardized agentic capabilities.,Client
Copilot,https://github.com/VikashLoomba/copilot-mcp,0,"MCP Search for VSCodeA powerful VSCode extension that enables MCP server usage in Copilot, giving it access to MCP tools, resources, and more.",Client
M,https://github.com/slavashvets/mcp-http-clilent-example,0,CP HTTP Client ExampleSimple example client demonstrating how to connect to MCP servers over HTTP (SSE),Client
A,https://github.com/xark-argo/Argo,0,"RGO - Local AIDesktop AI Agent builder supports for local/remote LLMs, RAG, MCP",Client
Video,https://github.com/SealinGp/Video Extraction,0,"Extraction ServerMCP Video & Audio Text Extraction Server A Model Context Protocol (MCP) server that enables text extraction from various video platforms and audio files, allowing compatible host applications (like Claude Desktop, Cursor) to access video content and perform text transcription. What is it? MCP Video & Audio Text Extraction Server is a Model Context Protocol (MCP) server that can download videos from various platforms, extract audio, and convert it to text. The server utilizes OpenAI's Whisper model for high-quality audio-to-text conversion. How to use it? Clone the repository and install dependencies Ensure FFmpeg is installed Run the server Configure your MCP host application (like Claude Desktop) to use the server Key Features Support video downloads from multiple platforms including YouTube, Bilibili, TikTok, etc. Extract audio content from videos High-quality speech recognition using Whisper model Multi-language text recognition support Asynchronous processing for large files Standardized MCP tools interface Use Cases Provide text transcription capabilities for applications that need to process video content Batch process video content and extract text information Create custom applications requiring audio/video text extraction functionality Enable AI assistants to understand video content FAQ What are the system requirements to run the server? > Requires Python 3.9+, FFmpeg, minimum 8GB RAM, GPU acceleration recommended What should I know about first run? > The system will automatically download the Whisper model file (approximately 1GB), which may take several minutes to tens of minutes What audio formats are supported? > Supports common audio formats including mp3, wav, m4a, etc. This description maintains the core information from the original README while adopting a similar structure and style to the reference page. Would you like me to adjust or add anything to this description?",Client
Histor,https://github.com/annali/HistorIQ,0,"IQHistorIQ 是一個基於模型上下文協議（Model Context Protocol, MCP）架構的 AI 歷史小說平台。整合了 RAG（Retrieval-Augmented Generation）、AI Agent、與本地部署的大語言模型（LLM），讓使用者能夠以自然語言提問歷史事件、人物與文化主題，系統則透過多階段推理與知識檢索生成具脈絡性的回答。",Client
A,https://github.com/YinZhengFei/AI Coding,0,"I CodingAI Coding can help developers use the services of AI providers (such as OpenAI/Claude/Baidu/Google) more conveniently, improving development efficiency.",Client
Think,https://github.com/thinkany/ThinkAny,0,AnyAI Search Engine,Client
Team,"https://github.com/TeamSpark, LLC/teamspark-ai-workbench",0,"Spark AI WorkbenchTeamSpark AI Workbench is a powerful desktop and command line client application designed for building intelligent AI agents that can solve complex problems using various AI models from providers like Anthropic, OpenAI, Google, AWS Bedrock, and Ollama.",Client
M,https://github.com/kyopark2014/mcp,0,CP로 RAG Application 구현하기It shows how to use model-context-protocol.,Client
T,https://github.com/Runebook/Tome,0,TOMEA magical tool for using local LLMs with MCP servers,Client
A,https://mcp.so/client/aime-box,0,IME-BOX一款基于 langchain + electron开发的多平台桌面端 Chat 客户端 支持本地知识库，tool调用，多个智能agent调用 目标尽量实现全离线本地可执行的智能agent,Client
M,https://github.com/cgoing/mcp-client-chatbot,0,"CP-CLIENT-CHATBOTMCP Client Chatbot is a chat interface that allows you to easily utilize various AI providers (OpenAI,Anthropic, Google, Ollama, etc.) while connecting powerful AI tools through MCP",Client
B,https://github.com/Daniel Nguyen/BoltAI,0,"OLTAIBoltAI is an all-in-one AI chat client. It supports MCP tools calling, dynamic MCP server management and in-context server control.  Key features:  - Multiple AI providers & models - MCP server integration - Native app: fast & powerful - Import configuration from Claude or Cursor - Built-in configuration editor",Client
P,https://github.com/attikpo-akrabal-godwin/PR-Reviewer,0,R ReviewerPR Reviewer is a tool designed to analyze GitHub pull requests and create detailed reports in Notion. It leverages the MCP (Model Context Protocol) to facilitate communication and integration between different services.,Client
Beyond,https://github.com/Charlie Garrison/beyond-better,0,"BetterAgentic assistant that handles the complexity while you focus on results. With MCP support and advanced Orchestrator/Agent capabilities, BB connects to hundreds of external data sources & tools and breaks down complex tasks for maximum efficiency.",Client
P,https://github.com/attikpo-akrabal-godwin/PR-Reviewer,0,R ReviewerPR Reviewer is a tool designed to analyze GitHub pull requests and create detailed reports in Notion. It leverages the MCP (Model Context Protocol) to facilitate communication and integration between different services.,Client
eechat,https://github.com/eechat/eechat,0,"An open-source, cross-platform desktop application that seamlessly connects with full support for MCP, across Linux, macOS, and Windows.",Client
Rijksmuseum,https://github.com/r-huijts/rijksmuseum-mcp-client,0,MCP Client for Rijksmuseum MCP ServerAn Electron-based desktop application that integrates with the Rijksmuseum MCP server using the Model Context Protocol (MCP). This client enables AI-powered interactions with the Rijksmuseum's art collection through a chat interface.,Client
mcp-oi-wiki🌟,https://github.com/ShwStone/mcp-oi-wiki,0,Wiki of OI / ICPC for LLMs. （面向大模型的某大型游戏线上攻略，内含炫酷算术魔法）,Client
M,https://github.com/liujilongObject/mcp-host-use,0,CP-HOST-USEmcp-host-use is a Node.js-based Model Context Protocol (MCP) host application for connecting and managing multiple MCP servers.,Client
C,https://github.com/spring.razer@gmail.com/ChatFrame,0,ChatFrameThe ultimate chat AI agent platform,Client
C,https://github.com/Aman Rusia/chat.md,0,HAT.MD - hacker's chat interfacechat.md is a VS Code extension mcp client that turns markdown files into editable AI conversations,Client
Cursor,https://github.com/packetnomad/cursor-apple-notes-indexer,0,Apple Notes IndexerAn MCP app for Cursor that searches and indexes Apple Notes locally,Client
Claude,https://github.com/Anthropic/claude-ai,0,Meet Claude on your desktop,Client
M,https://github.com/WinterTechForum/MCP-demo,0,"CP ClientA very simple MCP demo, based off of Anthropics MCP examples, with the added bonus of an agency loop",Client
